89053195,04538133
69000000,04538133
12200000,99999999
89255750,88372066
04538133,22241330
31330910,22241330
31330910,31330910
22241330,04538133
04538133,89053195
31330910,22241330
31330910,22241330
31330910,31330910
22241330,22241330
22241330,88113823
12200000,04538133
89053195,31330910
82590300,31330910
04538133,22241330
31330910,22241330
04538133,04000000
31330910,04538133
04538133,82590300
22241330,04538133
22241330,04000000
22241330,89053195
22241330,04538133
82590300,04538133
22241330,04000000
31330910,82590300
69000000,31330910
12200000,82590300
82590300,04538133
04538133,04000000
82590300,50000000
12200000,88070320
04538133,04538133
88070320,04000000
69000000,04538133
04538133,04538133
04538133,04000000
89053195,04538133
31330910,82590300
12200000,04538133
82590300,04538133
31330910,31330910
69000000,82590300
88070320,82590300
04538133,04000000
01000000,04538133
88070320,88070320
12200000,04538133
04538133,04000000
01000000,04000000
69000000,22241330
12200000,82590300
04538133,31330910
31330910,04538133
04538133,89053195
88070320,82590300
04538133,22241330
89053195,04538133
69000000,04538133
12200000,99999999
89255750,88372066
04538133,22241330
31330910,22241330
31330910,31330910
22241330,04538133
04538133,89053195
31330910,22241330
31330910,22241330
31330910,31330910
22241330,22241330
22241330,88113823
12200000,04538133
89053195,31330910
82590300,31330910
04538133,22241330
31330910,22241330
04538133,04000000
31330910,04538133
04538133,82590300
22241330,04538133
22241330,04000000
22241330,89053195
22241330,04538133
82590300,04538133
22241330,04000000
31330910,82590300
69000000,31330910
12200000,82590300
82590300,04538133
04538133,04000000
82590300,50000000
12200000,88070320
04538133,04538133
88070320,04000000
69000000,04538133
04538133,04538133
04538133,04000000
89053195,04538133
31330910,82590300
12200000,04538133
82590300,04538133
31330910,31330910
69000000,82590300
88070320,82590300
04538133,04000000
01000000,04538133
88070320,88070320
12200000,04538133
04538133,04000000
01000000,04000000
69000000,22241330
12200000,82590300
04538133,31330910
31330910,04538133
04538133,89053195
88070320,82590300
04538133,22241330
89053195,04538133
69000000,04538133
12200000,99999999
89255750,88372066
04538133,22241330
31330910,22241330
31330910,31330910
22241330,04538133
04538133,89053195
31330910,22241330
31330910,22241330
31330910,31330910
22241330,22241330
22241330,88113823
12200000,04538133
89053195,31330910
82590300,31330910
04538133,22241330
31330910,22241330
04538133,04000000
31330910,04538133
04538133,82590300
22241330,04538133
22241330,04000000
22241330,89053195
22241330,04538133
82590300,04538133
22241330,04000000
31330910,82590300
69000000,31330910
12200000,82590300
82590300,04538133
04538133,04000000
82590300,50000000
12200000,88070320
04538133,04538133
88070320,04000000
69000000,04538133
